CustomerID,AccountType,AccountBalance,DateOfAccountOpening,LastTransactionDate,AccountID
1,Current,1313.38,5/26/2006,4/23/2023,1
2,Current,5988.46,3/2/2006,1/27/2023,2
3,Current,8277.88,7/19/2015,1/1/2023,3
4,Savings,7487.21,1/30/2008,8/2/2023,4
5,Savings,6993.55,5/25/2021,3/27/2023,5
6,Savings,9295.64,12/21/2015,6/4/2023,6
7,Current,4005.72,7/7/2022,3/21/2023,7
8,Savings,1458.45,12/14/2022,3/1/2023,8
9,Current,1109.3,4/29/2012,11/5/2023,9
10,Current,9554.62,12/20/2021,2/5/2023,10
11,Savings,5930.75,8/12/2015,10/18/2023,11
12,Current,8126.85,9/13/2005,10/16/2023,12
13,Savings,5402.04,11/13/2010,11/21/2023,13
14,Savings,4045.09,8/14/2014,12/29/2023,14
15,Savings,2082.67,9/16/2015,6/24/2023,15
16,Savings,8578.44,10/2/2016,12/20/2023,16
17,Current,728.8,7/7/2006,12/18/2023,17
18,Savings,9012.31,8/12/2019,3/30/2023,18
19,Current,2129.63,8/18/2005,2/28/2023,19
20,Savings,194.36,4/24/2017,3/2/2023,20
21,Savings,1128.58,10/29/2016,8/30/2023,21
22,Current,8846.74,1/1/2005,10/10/2023,22
23,Savings,829.7,9/2/2011,8/13/2023,23
24,Savings,3616.88,10/7/2014,8/10/2023,24
25,Savings,2578.13,6/4/2004,3/31/2023,25
26,Current,464.86,10/1/2022,1/15/2023,26
27,Savings,5361.52,7/27/2006,12/31/2023,27
28,Savings,9983.5,8/10/2018,7/4/2023,28
29,Savings,8544.77,11/12/2000,7/23/2023,29
30,Current,1772.04,2/12/2015,2/10/2023,30
31,Current,8854.73,9/15/2004,6/20/2023,31
32,Current,4572.76,5/4/2010,9/25/2023,32
33,Current,2805.18,7/30/2003,7/15/2023,33
34,Savings,6439.03,8/23/2005,9/7/2023,34
35,Current,2245.28,1/5/2002,7/14/2023,35
36,Current,8808.55,7/8/2009,8/18/2023,36
37,Current,6279.42,7/28/2008,4/6/2023,37
38,Current,1446.62,5/16/2002,8/6/2023,38
39,Savings,5749.42,7/20/2008,1/4/2023,39
40,Savings,5152.67,1/13/2020,1/5/2023,40
41,Current,4767.41,8/13/2018,2/15/2023,41
42,Current,3713.26,10/29/2015,11/27/2023,42
43,Current,4794.63,6/23/2006,5/6/2023,43
44,Current,5901.51,3/21/2010,5/17/2023,44
45,Savings,7362.34,5/3/2001,5/16/2023,45
46,Savings,9186.97,6/2/2005,11/10/2023,46
47,Current,539.4,12/11/2005,12/25/2023,47
48,Current,5736.51,6/20/2012,11/15/2023,48
49,Current,7544.54,1/30/2021,7/8/2023,49
50,Current,1243.99,3/2/2022,5/23/2023,50
51,Current,9123.83,9/7/2021,3/14/2023,51
52,Current,2525.4,10/25/2015,6/27/2023,52
53,Current,8349.99,6/3/2020,12/16/2023,53
54,Savings,6653.87,5/28/2014,8/14/2023,54
55,Savings,5639.51,1/24/2013,10/5/2023,55
56,Savings,8705.5,5/17/2007,8/26/2023,56
57,Current,9695.42,11/30/2022,4/4/2023,57
58,Savings,9971.6,2/16/2021,11/26/2023,58
59,Current,6864.48,9/5/2012,7/16/2023,59
60,Current,3457.4,8/22/2004,3/5/2023,60
61,Current,8759.52,1/6/2009,5/30/2023,61
62,Savings,6578.05,6/25/2004,5/21/2023,62
63,Savings,3300.96,12/15/2007,8/19/2023,63
64,Current,9330.41,11/9/2012,9/2/2023,64
65,Savings,7501.74,7/17/2009,10/30/2023,65
66,Savings,4583,2/11/2020,12/13/2023,66
67,Savings,4599.46,10/4/2016,10/4/2023,67
68,Savings,9959.69,2/6/2022,1/31/2023,68
69,Current,3799.72,6/19/2013,2/7/2023,69
70,Current,1031.4,5/29/2020,2/8/2023,70
71,Savings,5431.76,4/11/2020,6/13/2023,71
72,Savings,8860.06,12/25/2002,12/22/2023,72
73,Savings,5886.75,10/12/2018,9/24/2023,73
74,Current,7951.57,9/29/2010,3/10/2023,74
75,Savings,643.16,9/23/2016,10/17/2023,75
76,Current,6766.61,1/1/2005,8/17/2023,76
77,Savings,884.02,3/21/2019,9/18/2023,77
78,Savings,5607.93,10/15/2013,1/20/2023,78
79,Current,5027.9,11/4/2014,3/4/2023,79
80,Current,9461.48,2/24/2002,10/28/2023,80
81,Current,1411.4,10/6/2018,6/19/2023,81
82,Current,193.96,10/11/2010,1/13/2023,82
83,Savings,1459.81,5/16/2008,5/17/2023,83
84,Current,1789.99,7/6/2015,8/12/2023,84
85,Current,2584.02,1/10/2010,4/4/2023,85
86,Current,8169.38,6/2/2018,6/26/2023,86
87,Savings,3831.12,4/12/2013,12/14/2023,87
88,Current,8423.5,10/19/2015,12/23/2023,88
89,Savings,2792.15,7/2/2021,6/5/2023,89
90,Savings,8619.36,6/22/2022,5/1/2023,90
91,Current,180.1,11/25/2016,6/20/2023,91
92,Savings,9351.9,3/12/2022,7/17/2023,92
93,Current,7485.89,11/29/2002,6/18/2023,93
94,Savings,4186.03,7/4/2002,6/21/2023,94
95,Savings,5815.62,8/18/2004,6/6/2023,95
96,Current,9336.87,12/24/2016,11/20/2023,96
97,Current,5867.35,3/24/2008,7/29/2023,97
98,Savings,2362.83,12/21/2013,10/8/2023,98
99,Current,5771.45,4/24/2009,7/15/2023,99
100,Current,8727.33,10/15/2004,9/27/2023,100
101,Savings,9875.75,5/5/2020,7/6/2023,101
102,Savings,5882.42,10/9/2003,3/3/2023,102
103,Savings,1640.89,6/30/2021,5/25/2023,103
104,Current,7740.35,6/24/2006,8/14/2023,104
105,Savings,9969.42,3/9/2013,4/27/2023,105
106,Current,4789,12/4/2002,7/25/2023,106
107,Savings,3898.95,12/3/2021,12/22/2023,107
108,Current,5569.76,8/6/2006,3/7/2023,108
109,Current,1731.19,11/27/2018,10/28/2023,109
110,Savings,9715.71,4/12/2015,11/23/2023,110
111,Savings,8399.51,3/26/2011,1/28/2023,111
112,Current,1218.61,9/22/2014,11/11/2023,112
113,Savings,9456.31,1/22/2017,9/21/2023,113
114,Savings,9433.91,9/11/2012,8/9/2023,114
115,Current,3231.91,1/1/2015,1/10/2023,115
116,Current,6229.51,11/24/2013,10/4/2023,116
117,Savings,1196.47,1/3/2001,10/18/2023,117
118,Savings,933.49,1/13/2014,1/4/2023,118
119,Savings,5067.77,1/26/2013,6/30/2023,119
120,Savings,591.81,8/30/2006,3/26/2023,120
121,Savings,8761.43,1/30/2013,1/25/2023,121
122,Current,9288.14,1/30/2001,1/20/2023,122
123,Savings,766.33,6/23/2001,7/18/2023,123
124,Current,568.12,4/21/2007,7/18/2023,124
125,Savings,2292.04,3/16/2003,4/6/2023,125
126,Savings,9306.59,7/31/2003,4/6/2023,126
127,Savings,7713.24,6/6/2018,10/5/2023,127
128,Current,6797.33,1/23/2010,2/18/2023,128
129,Savings,7785.84,3/10/2004,3/30/2023,129
130,Current,2074.82,2/6/2004,1/6/2023,130
131,Current,2640.22,6/10/2010,5/26/2023,131
132,Savings,3244.52,7/20/2007,1/12/2023,132
133,Savings,6090.15,10/15/2012,1/28/2023,133
134,Savings,6121.38,9/9/2013,10/2/2023,134
135,Savings,2165.22,6/16/2005,2/12/2023,135
136,Current,4423.6,6/5/2001,4/9/2023,136
